>	aa
91.500961	11.316326
91.501968	11.325890
91.503838	11.343750
91.504005	11.346875
91.504204	11.350797
91.504562	11.357813
91.505966	11.385263
91.506241	11.390634
91.507729	11.419726
91.507919	11.423451
91.508636	11.437500
91.508667	11.440632
91.508804	11.454184
91.508835	11.457010
91.509155	11.488638
91.509178	11.491125
91.509506	11.523088
91.509529	11.525237
91.509590	11.531250
91.509537	11.534373
91.509148	11.557533
91.509102	11.560094
91.508575	11.591974
91.508522	11.595104
91.508026	11.625000
91.507973	11.626411
91.507912	11.628154
91.507828	11.630219
91.506683	11.660844
91.506493	11.665961
91.505394	11.695273
91.505150	11.701702
91.504517	11.718750
91.504326	11.721911
91.503860	11.729697
91.503380	11.737863
91.501816	11.764117
91.501205	11.774408
91.499771	11.798533
91.499031	11.810949
91.498940	11.812500
91.498672	11.815574
91.497200	11.832944
91.495888	11.848438
91.494278	11.867351
91.492699	11.885961
91.491364	11.901754
91.490982	11.906250
91.490662	11.909269
91.489113	11.923869
91.487816	11.936152
91.485054	11.962237
91.484177	11.970546
91.481056	12.000000
91.480995	12.000600
91.480743	12.002963
91.480537	12.004935
91.476913	12.038981
91.476875	12.039321
91.476562	12.042245
91.473213	12.073701
91.472824	12.077354
91.471085	12.093750
91.470833	12.096844
91.469917	12.108078
91.469345	12.115134
91.467125	12.142450
91.466316	12.152469
91.464333	12.176817
91.463470	12.187500
91.463394	12.189689
91.463364	12.190625
91.462662	12.211180
91.462189	12.225230
91.461494	12.245539
91.460976	12.260767
91.460327	12.279893
91.460281	12.281250
91.460358	12.284309
91.460602	12.295485
91.461029	12.314243
91.461357	12.329097
91.461792	12.348588
91.462112	12.362704
91.462387	12.375000
91.462624	12.378091
91.462997	12.382928
91.463943	12.395253
91.465637	12.417264
91.466400	12.427189
91.468277	12.451596
91.468857	12.459121
91.469597	12.468750
91.469963	12.471883
91.471611	12.485923
91.472122	12.490260
91.475639	12.520246
91.475731	12.521055
91.476562	12.528128
91.479347	12.551848
91.479660	12.554564
91.480591	12.562500
91.481026	12.565622
91.483337	12.582266
91.484253	12.588877
91.487534	12.612480
91.489021	12.623186
91.491730	12.642692
91.493614	12.656250
91.493805	12.657490
91.494080	12.659289
91.496124	12.672701
91.499039	12.691789
91.500687	12.702551
91.504280	12.726084
91.505249	12.732397
91.507935	12.750000
91.508499	12.753084
91.509834	12.760375
91.510117	12.761934
91.511719	12.770678
91.515442	12.791031
91.516106	12.794660
91.520760	12.820126
91.522369	12.828941
91.525078	12.843750
91.525795	12.846851
91.526291	12.849010
91.529572	12.863218
91.532753	12.876985
91.537491	12.897489
91.539215	12.904957
91.545403	12.931756
